(7,3)
	3	43	20975	31061	37695	68922	68925	1256236	1260333	1262033	
	64	5245	27561	28783	1257436	1295350	1295765	
	2745	10358	26763	28754	1268360	1269058	1269204	
	81	352	435	1827	1906	2435	2437	7246	17293	17299	1238855	1239015	1239686	
	1369	33905	166528	1373824	1374763	1375841	
	727	2965	10550	249708	1323288	1323558	1325279	
	43	536	35167	110672	1222620	1260333	1262033	
	43	100	145	6950	73930	1261430	1261437	1261535	
	817	146178	146182	1254843	1262850	1269545	
	49859	50930	59164	254285	1350646	1350647	1350671	
	143	145	147	3888	308614	1283528	1284173	1285159	
	219	25423	75283	1218982	1228841	1410045	
	1319	29950	77423	1288274	1288778	1289541	
	48	2819	3925	6108	1226147	1233503	1240760	
	147	16887	46427	1277366	1278716	1278883	
	15429	75277	75623	1334295	1390213	1393877	
	2650	4188	19082	137970	1415589	1420038	1420074	
	48	143	145	147	3888	284670	1284173	1285159	1285190	
	1842	10358	212951	1303242	1305207	1309652	
	21606	22685	100395	1294837	1312442	1313542	
	5706	15428	15429	1240200	1240204	1240213	
	219	26896	61887	1255140	1255772	1256456	
	4975	12091	148846	1242085	1242363	1242367	
	41	43	147	19747	34147	92741	92744	1278690	1278716	1278723	
	43	431	1351	24224	1278722	1278730	1278731	
	20889	134650	293494	1308393	1308395	1308883	
	100	5003	6108	6110	7309	1231143	1332911	1334005	
	10966	11341	12912	49124	137100	1308395	1308883	1316289	
	1638	2819	4264	6108	6110	7885	8597	29743	30146	30919	265014	1309801	1309851	1309878	
	48	145	88463	1379910	1383550	1406676	
	536	1369	179481	1295765	1413489	1416152	
	43	1351	5859	15291	26397	39054	90439	92583	1278886	1278890	1280106	
	2419	20987	111896	1335379	1337852	1337875	
	1834	4975	5731	6950	20944	20969	1242367	1245083	1245140	
	43	147	2572	4158	4756	27711	1278723	1278871	1280106	
	1351	27811	146162	1262850	1342518	1345730	
	43	8693	123018	1436510	1436640	1436647	
	4112	10809	62375	206338	1239056	1239061	1239076	
	48962	68142	184533	1441934	1441980	1442028	
(4,4)
	7021	7745	7764	16874	1403776	1407152	1408732	1408812	
	145	147	219	34654	1279965	1280017	1280029	1280031	
	48	145	4193	4221	4224	4225	1302548	1302770	1302775	1302872	
